benchmark,rule_id,title,runner_type,why_dead
CIS_AKS_Optimized_Azure_Linux_2_Benchmark_v1.1.0,2.2.17,Ensure mail transfer agent is configured for local-only mode (Automated),linux_ssh,dangling-pipe command
CIS_AKS_Optimized_Azure_Linux_3_Benchmark_v1.0.0,2.2.17,Ensure mail transfer agent is configured for local-only mode (Automated),linux_ssh,dangling-pipe command
CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.1.6,Ensure all users last password change date is in the past,linux_ssh,dangling-pipe command
CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.2.5,Ensure root path integrity,linux_ssh,dangling-pipe command
CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,6.3.3.6,Ensure use of privileged commands are collected,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_STIG_v2.0.1,2.2.16,Ensure mail transfer agent is configured for local-only mode,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_STIG_v2.0.1,3.5.1.3,Ensure nftables either not installed or masked with firewalld,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_STIG_v2.0.1,3.5.3.1.3,Ensure firewalld is either not installed or masked with iptables,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_STIG_v2.0.1,5.5.1.5,Ensure all users last password change date is in the past,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_STIG_v2.0.1,6.2.10,Ensure root PATH Integrity,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_v4.0.0,5.5.1.6,Ensure all users last password change date is in the past,linux_ssh,dangling-pipe command
CIS_AMAZON_LINUX_2_v4.0.0,6.2.3.6,Ensure use of privileged commands are collected,linux_ssh,dangling-pipe command
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.1,Ensure centralized root access in AWS Organizations,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.2,Ensure authorization guardrails for all AWS Organization accounts (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.3,Ensure Organizations management account is not used for workloads (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.4,Ensure Organizational Units are structured by environment and sensitivity (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.5,Ensure delegated admin manages AWS Organizations policies (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.1.6,Ensure delegated admins manage AWS Organizations- integrated services (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.10,Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.11,Ensure credentials unused for 45 days or more are disabled,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.12,Ensure access keys are rotated every 90 days or less,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.13,Ensure IAM users receive permissions only through groups,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.14,"Ensure IAM policies that allow full ""*:*"" administrative privileges are not attached (Automated)",aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.15,Ensure a support role has been created to manage incidents with AWS Support (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.16,Ensure IAM instance roles are used for AWS resource access from instances (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.17,Ensure that all expired SSL/TLS certificates stored in AWS IAM are removed (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.18,Ensure that IAM External Access Analyzer is enabled for all regions (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.19,Ensure IAM users are managed centrally via identity federation or AWS Organizations for multi-account environments (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.2,Maintain current AWS account contact details,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.20,Ensure access to AWSCloudShellFullAccess is restricted,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.21,"Ensure AWS resource policies do not allow unrestricted access using ""Principal"": ""*"" (Manual)",aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.3,Ensure security contact information is registered,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.4,Ensure no 'root' user account access key exists,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.5,Ensure MFA is enabled for the 'root' user account,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.6,Ensure hardware MFA is enabled for the 'root' user account,aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.7,Eliminate use of the 'root' user for administrative and daily tasks (Manual),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.8,Ensure IAM password policy requires minimum length of 14 or greater (Automated),aws_readonly,kind:any placeholder
CIS_Amazon_Web_Services_Foundations_Benchmark_v7.0.0,2.9,Ensure IAM password policy prevents password reuse,aws_readonly,kind:any placeholder
