asset_kind,benchmark,rule_id,title,severity,enabled,os_keys,plugin_id
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.2.2.1,"Ensure updates, patches, and additional security software are installed (Manual)",medium,True,"[""alibaba-linux""]",2494
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.6.3,Ensure system wide crypto policy macs are configured,medium,True,"[""alibaba-linux""]",2506
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.6.5,Ensure system wide crypto policy disables chacha20- poly1305 for ssh (Manual),medium,True,"[""alibaba-linux""]",2509
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.8.1,Ensure GDM login banner is configured,medium,True,"[""alibaba-linux""]",2518
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.8.2,Ensure GDM disable-user-list is configured,medium,True,"[""alibaba-linux""]",2519
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,1.8.6,Ensure XDMCP is not enabled,medium,True,"[""alibaba-linux""]",2523
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,2.1.22,Ensure X window server services are not in use,medium,True,"[""alibaba-linux""]",2546
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,2.1.24,Ensure only approved services are listening on a network interface (Manual),medium,True,"[""alibaba-linux""]",2548
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,3.1.1,Ensure IPv6 status is identified,medium,True,"[""alibaba-linux""]",2567
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,4.1.7,Ensure firewalld services and ports are configured,medium,True,"[""alibaba-linux""]",2602
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.2.3,Ensure pam_pwquality module is enabled,medium,True,"[""alibaba-linux""]",2641
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.1.1,Ensure password failed attempts lockout is configured,high,True,"[""alibaba-linux""]",2644
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.1.2,Ensure password unlock time is configured,medium,True,"[""alibaba-linux""]",2645
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.2.1,Ensure password number of changed characters is configured (Automated),high,True,"[""alibaba-linux""]",2647
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.2.2,Ensure password length is configured,medium,True,"[""alibaba-linux""]",2649
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.2.3,Ensure password complexity is configured,high,False,"[""alibaba-linux""]",2650
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.2.4,Ensure password same consecutive characters is configured (Automated),high,True,"[""alibaba-linux""]",2651
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.2.5,Ensure password maximum sequential characters is configured (Automated),high,True,"[""alibaba-linux""]",2652
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.3.3.3.1,Ensure password history remember is configured,high,True,"[""alibaba-linux""]",2655
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.1.1,Ensure password expiration is configured,medium,True,"[""alibaba-linux""]",2662
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.1.3,Ensure password expiration warning days is configured,medium,True,"[""alibaba-linux""]",2664
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.1.5,Ensure inactive password lock is configured,medium,True,"[""alibaba-linux""]",2666
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.2.6,Ensure root user umask is configured,medium,False,"[""alibaba-linux""]",2673
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,5.4.3.3,Ensure default user umask is configured,medium,False,"[""alibaba-linux""]",2658
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,6.2.1.1.3,Ensure journald log file rotation is configured,medium,True,"[""alibaba-linux""]",2686
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,6.2.2.4,Ensure rsyslog log file creation mode is configured,medium,False,"[""alibaba-linux""]",2697
Cloud/SaaS,CIS_ALIBABA_CLOUD_LINUX_3_v2.0.0,6.2.2.5,Ensure rsyslog logging is configured,critical,True,"[""alibaba-linux""]",2698
